time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-11 00:00:00+00:00,23,13,0,0
2026-06-12 00:00:00+00:00,24,8,2,2
2026-06-13 00:00:00+00:00,23,10,2,1
2026-06-14 00:00:00+00:00,16,4,0,0
2026-06-15 00:00:00+00:00,29,12,0,0
2026-06-16 00:00:00+00:00,20,10,0,0
2026-06-17 00:00:00+00:00,34,12,6,1
2026-06-18 00:00:00+00:00,28,9,0,0
2026-06-19 00:00:00+00:00,40,10,1,1
2026-06-20 00:00:00+00:00,22,7,0,0
2026-06-21 00:00:00+00:00,37,8,0,0
2026-06-22 00:00:00+00:00,44,10,2,1
2026-06-23 00:00:00+00:00,45,15,28,3
2026-06-24 00:00:00+00:00,15,5,1,1
